age,experience_years,working_hours_per_day,projects_handled,overtime_hours,work_pressure_score,work_life_balance,team_size,manager_support,job_satisfaction,mental_fatigue_score,stress_level,sleep_hours,burnout_score,gender_Male,education_level_Master,education_level_PhD,job_role_HR Executive,job_role_ML Engineer,job_role_Project Manager,job_role_Software Engineer,company_type_MNC,company_type_Startup,deadline_frequency_Low,deadline_frequency_Medium,remote_work_Yes,physical_activity_Yes,health_issues_Yes
42,22,9,5,19,1,1,5,5,4,6.3,4,5.5,0.388,False,False,False,False,False,True,False,False,True,False,True,False,True,False
54,18,8,5,13,6,2,16,4,3,6.3,5,8.1,0.583,True,True,False,False,True,False,False,False,False,False,True,False,True,True
33,2,11,6,14,8,5,12,4,1,1.9,3,6.6,0.355,False,True,False,True,False,False,False,False,True,False,False,True,False,True
43,26,11,5,13,3,1,13,2,4,8.7,1,7.7,0.536,False,True,False,False,False,False,False,True,False,True,False,False,False,False
46,2,7,2,23,1,2,7,4,2,7.0,5,6.5,0.338,True,True,False,False,False,False,True,True,False,True,False,False,True,True
48,27,7,5,4,3,5,18,5,1,3.0,5,6.9,0.122,True,True,False,True,False,False,False,True,False,True,False,True,False,False
49,16,11,3,15,5,5,11,1,5,2.5,3,6.9,0.165,True,False,False,False,False,True,False,True,False,True,False,True,True,False
37,30,10,6,4,8,4,18,5,4,7.5,2,4.6,0.646,False,False,True,True,False,False,False,False,True,False,False,False,False,True
36,9,10,4,21,9,3,11,3,3,7.3,4,6.3,0.884,True,False,False,False,False,False,True,False,False,True,False,True,True,False
24,21,9,5,12,9,1,19,2,2,1.5,2,8.0,0.512,False,False,False,False,True,False,False,False,True,True,False,True,False,True
58,29,11,3,27,4,2,14,1,4,3.5,1,6.5,0.234,False,False,False,True,False,False,False,False,False,True,False,False,False,False
28,20,7,3,15,8,5,17,2,3,2.2,2,6.2,0.187,False,False,False,False,False,False,True,True,False,True,False,False,True,False
42,22,9,2,14,5,4,12,3,2,2.9,1,6.6,0.226,False,False,False,False,False,False,True,True,False,True,False,False,False,True
30,11,6,6,4,3,3,6,4,4,2.9,4,6.0,0.116,True,False,False,False,False,False,False,True,False,False,True,True,True,False
39,24,7,2,20,5,5,19,3,2,9.8,3,6.6,0.608,True,True,False,False,False,False,False,True,False,False,True,True,True,False
25,19,7,4,29,2,5,12,4,5,7.5,1,5.0,0.175,False,False,False,False,True,False,False,False,True,True,False,False,False,False
46,6,7,4,22,6,1,13,2,2,7.8,4,8.4,0.659,True,True,False,False,False,False,False,False,False,False,False,False,True,True
35,28,10,1,5,1,3,3,2,3,2.8,3,4.6,0.197,False,False,False,False,True,False,False,False,False,False,False,True,False,False
30,28,8,4,28,6,3,12,2,4,0.0,2,6.4,0.062,False,False,True,False,False,True,False,True,False,False,True,False,False,True
47,12,8,6,12,5,2,5,5,3,0.6,2,5.3,0.099,False,True,False,False,False,True,False,False,True,False,False,False,False,False
23,2,10,6,15,9,4,8,1,5,5.5,1,4.7,0.675,True,False,False,False,False,False,False,True,False,False,True,True,False,False
41,1,11,2,29,7,2,19,5,1,2.9,5,7.1,0.621,False,True,False,False,False,True,False,False,False,True,False,True,False,True
49,15,11,3,9,6,4,14,3,2,1.9,5,8.4,0.426,False,True,False,True,False,False,False,False,False,True,False,False,True,True
28,29,10,1,26,7,2,13,1,3,0.5,3,7.5,0.325,True,True,False,True,False,False,False,False,True,False,False,False,False,True
29,5,10,4,1,10,4,19,2,4,8.8,2,5.5,0.945,True,True,False,True,False,False,False,False,False,False,False,True,True,False
56,6,11,3,12,5,1,5,2,4,6.0,4,6.5,0.661,True,True,False,False,False,True,False,False,True,False,False,True,True,False
35,4,8,2,16,1,4,11,2,1,1.1,3,4.7,0.061,True,True,False,True,False,False,False,True,False,True,False,True,False,False
38,6,9,5,0,9,2,8,4,4,7.7,1,6.6,0.649,False,False,False,False,True,False,False,True,False,True,False,True,True,False
57,33,10,1,3,5,3,5,3,5,7.6,1,4.9,0.606,True,False,False,False,False,False,True,False,True,False,False,False,False,True
25,31,9,6,17,4,5,8,5,1,2.9,3,7.7,0.198,False,True,False,False,False,False,False,True,False,False,False,True,True,True
23,12,9,3,5,6,4,13,3,5,1.9,4,4.7,0.299,True,False,False,False,True,False,False,False,True,False,False,True,True,False
27,29,6,2,27,5,4,13,4,2,8.1,2,4.5,0.415,True,False,False,True,False,False,False,True,False,False,False,False,True,True
25,24,8,2,11,1,3,9,4,5,3.3,2,7.9,0.0,True,False,False,False,False,False,True,True,False,False,True,False,True,True
50,20,9,1,24,2,1,15,3,2,8.5,4,8.3,0.662,True,False,False,False,False,False,False,False,False,False,False,False,False,False
39,20,8,1,25,4,2,15,4,5,0.4,2,4.8,0.103,True,False,True,False,True,False,False,False,False,False,False,True,True,True
47,27,8,4,26,8,1,9,1,1,5.0,5,5.6,0.982,True,False,False,False,False,False,False,False,True,False,True,False,False,True
55,19,6,4,29,5,4,16,2,2,1.8,5,7.5,0.139,False,False,False,False,False,True,False,True,False,False,True,True,True,True
31,33,11,6,25,7,4,4,5,5,6.7,4,6.7,0.539,True,True,False,True,False,False,False,True,False,False,True,True,False,False
57,4,8,6,23,2,1,5,4,5,10.0,5,8.3,0.616,True,True,False,False,True,False,False,True,False,False,True,False,True,True
35,17,9,1,19,8,2,6,5,4,4.1,3,6.1,0.538,True,False,False,False,True,False,False,False,False,False,False,True,False,False
52,10,11,1,12,5,4,10,2,5,1.0,2,4.5,0.218,True,False,False,False,False,False,True,False,True,True,False,False,False,False
36,16,11,3,27,4,4,3,3,4,3.2,3,4.6,0.359,False,False,True,False,False,False,True,False,True,True,False,False,False,False
29,21,7,4,1,9,1,11,2,5,8.9,4,6.8,0.855,True,True,False,False,False,False,True,False,True,True,False,True,False,True
35,19,9,2,16,6,5,19,5,3,7.7,5,7.5,0.426,True,False,False,False,False,False,False,True,False,True,False,True,False,True
44,5,9,4,22,4,3,9,1,4,2.3,3,7.7,0.212,True,False,False,True,False,False,False,False,True,True,False,True,False,True
42,33,8,4,9,8,4,5,3,1,9.5,3,8.1,0.876,True,False,False,False,False,False,False,False,False,True,False,False,True,True
37,13,9,1,18,3,2,18,4,1,6.2,1,5.4,0.496,False,False,False,True,False,False,False,False,False,False,True,False,True,True
39,22,7,1,29,10,5,10,1,2,1.7,3,7.5,0.377,True,False,False,False,True,False,False,False,True,False,True,False,False,True
45,19,8,4,21,2,1,7,2,1,5.7,5,7.8,0.514,False,False,True,False,False,False,False,True,False,True,False,True,False,True
47,12,10,5,4,7,1,19,5,2,4.5,2,7.8,0.576,True,False,False,False,False,False,False,False,False,False,False,False,True,True
46,31,9,5,20,4,2,7,5,1,8.2,2,6.1,0.583,False,True,False,False,False,False,False,False,False,False,False,False,False,True
50,25,9,6,11,4,5,9,5,4,3.4,2,7.0,0.174,False,False,False,False,False,True,False,True,False,True,False,False,True,True
36,13,6,4,17,10,2,15,2,3,8.7,5,6.7,0.987,True,True,False,True,False,False,False,True,False,False,False,True,False,True
22,7,10,5,29,9,4,13,3,2,8.1,2,6.9,0.779,True,True,False,True,False,False,False,False,True,False,True,True,False,False
46,21,10,6,8,2,5,7,4,3,6.7,2,5.6,0.356,False,False,False,False,False,False,False,False,False,False,True,True,True,True
28,21,7,6,10,1,3,17,1,5,2.6,4,7.2,0.048,False,True,False,False,False,True,False,False,False,False,False,False,False,True
30,15,10,4,3,7,3,9,2,5,9.7,4,7.3,0.749,True,False,False,False,False,False,False,False,True,True,False,False,True,False
45,26,6,6,9,8,2,7,5,3,5.5,1,5.3,0.427,False,False,True,True,False,False,False,False,True,False,True,True,False,False
22,9,7,1,0,3,3,9,4,4,9.1,1,6.3,0.362,False,False,True,False,True,False,False,False,False,False,False,True,False,True
29,24,10,1,1,2,2,19,5,3,2.2,3,6.2,0.188,False,False,False,False,False,True,False,False,False,False,False,False,False,True
45,30,7,1,8,4,4,11,2,3,9.8,3,7.5,0.492,True,False,False,False,False,True,False,True,False,False,True,False,True,False
32,20,10,2,22,2,4,8,5,3,8.2,3,7.2,0.425,False,False,False,False,False,False,False,True,False,False,True,False,False,True
38,26,10,1,25,2,2,11,2,2,9.5,1,6.4,0.503,False,True,False,False,True,False,False,False,False,True,False,True,True,False
29,16,11,1,17,5,4,19,5,2,2.1,2,7.1,0.217,False,False,False,True,False,False,False,False,False,False,False,True,True,False
56,32,10,4,15,10,3,4,2,3,4.3,3,5.6,0.794,True,False,False,False,False,False,True,True,False,True,False,True,True,False
56,30,9,5,22,5,4,15,5,4,1.0,2,5.4,0.183,True,False,False,True,False,False,False,False,True,False,True,True,True,False
54,25,10,5,13,8,3,19,4,5,1.4,2,5.5,0.32,False,False,False,True,False,False,False,False,True,False,False,False,False,True
26,20,9,1,3,9,3,8,4,5,2.8,1,4.6,0.306,True,True,False,False,True,False,False,False,False,False,True,False,True,False
49,0,8,1,25,2,1,8,5,5,9.5,4,7.3,0.517,False,False,False,False,False,True,False,False,False,False,True,False,True,False
28,3,11,1,1,1,4,4,5,1,6.7,4,8.4,0.29,True,True,False,True,False,False,False,True,False,False,True,True,False,True
30,3,6,6,11,3,4,15,2,4,3.1,5,5.7,0.224,True,False,False,False,False,True,False,False,False,True,False,True,False,False
29,25,7,4,19,6,2,12,2,2,9.5,4,8.2,0.824,False,False,False,False,True,False,False,False,True,False,True,False,False,False
33,3,7,4,4,5,2,11,2,5,7.4,3,6.9,0.442,True,True,False,False,True,False,False,True,False,True,False,True,False,False
55,8,8,4,28,8,5,15,3,2,9.1,1,5.4,0.592,True,False,True,False,False,False,False,True,False,False,True,True,True,False
54,29,10,5,29,8,3,9,5,2,9.3,2,4.5,1.0,True,True,False,False,False,False,True,False,True,False,True,False,True,False
44,3,6,2,3,2,1,16,5,2,7.5,1,7.4,0.244,False,False,False,False,True,False,False,False,True,False,False,True,True,True
45,4,8,5,14,9,3,6,5,2,2.4,5,7.3,0.501,True,False,False,False,True,False,False,True,False,False,True,True,False,True
58,22,8,4,2,4,4,10,5,3,10.0,5,5.4,0.703,True,False,True,False,False,True,False,False,False,False,False,False,False,False
56,15,7,3,21,1,5,14,2,2,3.3,5,5.8,0.147,False,False,False,False,True,False,False,False,True,False,False,False,True,True
43,21,9,2,16,2,3,10,2,1,6.7,2,8.1,0.405,True,False,False,True,False,False,False,True,False,True,False,False,False,True
48,7,9,1,7,6,5,18,3,2,8.4,5,5.1,0.831,True,False,True,False,False,False,False,False,False,False,False,True,True,False
56,32,10,6,11,5,3,3,2,5,1.8,5,7.8,0.379,True,True,False,False,False,False,False,False,False,False,False,False,False,False
22,15,10,5,20,7,4,12,5,2,6.1,5,5.2,0.67,True,False,True,True,False,False,False,True,False,False,True,False,False,False
56,4,8,6,7,9,4,9,5,5,3.8,2,6.4,0.251,True,False,True,False,True,False,False,False,True,False,True,True,False,False
58,15,10,2,25,6,3,16,1,2,2.4,5,6.5,0.589,False,False,True,False,False,False,True,False,False,True,False,True,True,False
35,6,9,3,19,6,1,19,2,4,0.1,3,6.4,0.382,False,False,False,False,True,False,False,False,True,False,False,False,False,False
24,0,6,2,19,2,4,7,1,3,8.7,1,5.7,0.227,True,False,False,False,False,False,False,True,False,False,False,False,False,True
22,8,7,5,4,7,2,5,5,5,1.4,5,5.5,0.316,True,True,False,False,False,False,True,False,True,True,False,True,True,True
26,17,9,4,20,2,1,3,2,1,8.8,5,7.4,0.852,True,True,False,False,False,True,False,False,False,False,True,True,True,True
47,2,11,1,26,7,3,10,5,2,6.0,1,5.6,0.701,False,False,False,False,False,True,False,True,False,False,False,True,True,False
35,23,10,4,5,8,1,11,1,5,6.2,5,6.9,0.941,False,False,False,False,True,False,False,False,False,True,False,False,False,False
48,27,7,4,4,1,2,7,1,3,8.3,5,7.9,0.485,True,False,False,False,True,False,False,False,False,False,True,True,False,False
30,9,11,5,20,9,4,3,4,2,5.1,3,7.8,0.7,True,True,False,False,False,False,True,True,False,True,False,False,True,False
36,8,7,4,28,8,4,19,4,3,3.6,4,5.2,0.349,False,False,False,False,False,False,True,True,False,True,False,False,False,False
36,12,8,4,7,9,4,16,2,1,1.4,2,7.1,0.452,True,False,False,False,True,False,False,False,True,False,False,False,True,True
47,34,10,5,21,5,2,19,2,5,5.7,2,6.9,0.524,False,True,False,False,False,False,False,True,False,False,True,True,False,True
34,22,8,5,17,4,1,11,2,1,5.5,1,5.6,0.506,False,True,False,False,False,True,False,False,True,False,False,True,False,False
53,16,7,3,3,1,3,5,2,3,2.9,3,6.1,0.101,True,False,False,False,False,False,True,True,False,False,False,False,False,True
53,6,8,4,3,9,3,5,2,4,6.0,2,5.6,0.622,False,True,False,False,False,False,False,False,False,False,True,False,True,True
25,15,10,2,4,4,1,15,2,4,4.4,1,6.6,0.36,True,True,False,False,True,False,False,False,True,False,True,True,True,True
51,19,9,1,14,4,4,7,2,5,8.1,1,7.7,0.378,True,False,False,True,False,False,False,True,False,False,True,False,False,True
58,23,6,6,5,4,3,8,1,2,5.6,1,8.0,0.291,True,False,False,False,False,False,True,False,True,False,False,True,True,True
44,4,11,1,26,2,4,16,1,1,9.3,2,7.4,0.632,True,False,False,True,False,False,False,False,True,False,True,False,True,True
36,5,9,5,20,4,5,8,1,4,5.2,4,6.4,0.399,True,False,False,False,False,False,False,False,True,False,True,True,False,False
50,27,7,6,15,2,5,19,5,4,8.9,1,8.3,0.209,True,False,True,False,False,True,False,False,False,False,True,False,False,True
57,4,9,5,13,8,3,11,3,2,5.2,5,6.8,0.774,False,False,False,False,False,False,False,True,False,True,False,False,True,False
34,1,8,3,13,7,1,6,5,1,5.6,4,6.4,0.671,False,True,False,False,False,True,False,True,False,False,True,False,True,True
53,20,10,4,15,10,1,17,2,3,3.7,4,7.9,0.788,False,False,False,False,False,False,False,False,True,False,False,True,False,False
28,17,9,5,26,2,1,17,3,4,4.0,5,5.2,0.272,False,False,False,False,False,False,True,True,False,True,False,True,False,False
43,11,9,5,21,2,4,9,1,5,9.3,2,5.1,0.522,True,True,False,False,False,False,True,False,False,False,False,True,False,False
49,16,10,1,23,2,5,17,1,5,2.2,2,7.6,0.0,False,False,False,True,False,False,False,False,True,True,False,False,False,True
23,14,8,4,3,1,4,7,4,3,1.2,3,8.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True
27,6,6,3,10,6,2,13,2,2,8.3,2,4.8,0.757,False,False,False,False,False,False,False,False,False,True,False,True,True,False
49,13,9,5,18,6,2,16,2,2,5.8,3,7.6,0.643,True,False,False,True,False,False,False,True,False,False,False,True,True,False
49,0,11,5,24,1,3,10,4,4,2.8,1,6.2,0.055,False,True,False,False,True,False,False,True,False,True,False,True,True,True
41,2,7,5,18,1,2,6,5,4,4.3,2,7.3,0.069,True,False,False,False,False,False,False,False,True,False,True,False,True,False
51,30,8,1,26,6,1,12,4,4,5.2,2,5.0,0.521,False,False,True,False,False,False,False,False,False,False,True,True,True,True
32,12,8,5,7,6,3,9,2,3,5.9,5,8.4,0.596,True,True,False,False,False,False,False,True,False,False,False,True,False,False
49,17,9,5,9,4,5,3,1,3,8.2,1,8.0,0.362,True,False,False,False,True,False,False,False,True,True,False,False,False,True
46,16,11,1,27,3,5,14,4,4,3.9,3,6.1,0.268,False,False,False,False,False,False,True,False,True,False,False,True,False,True
54,16,10,5,4,9,2,15,3,2,6.8,1,8.1,0.687,True,False,False,True,False,False,False,True,False,False,False,True,False,True
22,10,9,4,15,6,2,18,1,1,8.3,4,8.1,0.877,True,True,False,False,True,False,False,False,False,False,False,True,True,False
48,19,9,4,24,1,5,16,5,4,8.4,5,6.3,0.359,False,False,False,False,False,True,False,False,True,False,True,True,True,True
34,9,10,1,2,3,2,15,1,2,2.5,4,8.3,0.384,False,True,False,False,False,True,False,True,False,True,False,True,True,False
24,28,7,4,25,1,2,7,5,2,3.5,3,8.4,0.021,False,False,False,False,True,False,False,False,True,False,True,False,False,False
27,33,10,6,9,3,4,16,1,5,5.9,2,5.4,0.428,True,True,False,False,True,False,False,True,False,False,True,True,True,True
29,16,9,6,23,2,5,15,2,1,8.9,2,4.8,0.551,True,False,False,False,False,False,True,False,True,False,True,True,False,False
48,12,6,6,29,5,5,16,5,4,7.9,2,5.8,0.242,True,False,True,False,False,True,False,False,False,True,False,True,False,False
30,26,10,3,28,3,2,14,5,1,5.8,3,6.5,0.483,False,False,False,True,False,False,False,False,True,False,True,True,True,False
58,25,7,5,12,7,1,17,4,4,9.8,4,4.9,0.9,True,False,False,False,False,False,False,True,False,False,True,False,False,False
54,27,10,3,6,8,4,13,1,1,4.4,3,5.1,0.757,True,False,False,False,False,False,False,True,False,False,True,True,True,False
45,12,10,4,11,7,1,17,5,1,8.4,3,8.4,0.773,True,False,False,False,False,False,True,True,False,True,False,False,True,False
36,11,8,1,22,2,2,14,5,2,8.2,4,7.4,0.481,True,False,True,False,False,False,True,False,False,True,False,True,False,True
53,27,8,6,13,10,5,18,1,1,9.1,2,8.0,0.89,True,False,False,False,False,True,False,True,False,False,False,True,False,False
53,1,9,1,26,10,1,6,1,1,9.9,5,8.4,1.0,True,False,False,True,False,False,False,True,False,False,True,True,False,False
45,33,9,3,9,7,3,11,3,4,5.0,3,6.0,0.595,True,True,False,True,False,False,False,False,False,False,True,False,True,True
33,22,10,4,8,10,1,18,4,2,2.0,3,7.3,0.618,False,False,False,False,True,False,False,True,False,True,False,True,True,True
23,28,6,5,11,3,5,9,5,1,4.6,4,5.2,0.228,False,True,False,False,False,False,True,True,False,True,False,True,True,False
24,34,11,4,23,7,2,13,1,2,8.5,5,6.7,1.0,False,True,False,False,False,False,False,False,False,False,True,True,True,False
58,10,9,6,2,1,1,19,5,2,8.4,3,5.3,0.731,True,False,False,False,False,False,False,False,True,False,False,True,False,True
38,32,10,4,29,2,2,7,3,3,3.4,1,5.1,0.225,True,False,True,False,False,True,False,True,False,False,False,True,False,True
23,10,10,1,12,10,4,14,3,4,0.5,5,4.9,0.512,False,False,False,False,False,False,False,False,True,False,True,False,False,True
23,8,11,2,5,1,3,4,5,3,5.1,3,6.8,0.347,True,False,False,True,False,False,False,False,False,False,False,True,True,False
49,13,10,6,26,9,5,3,4,2,4.7,5,8.3,0.595,False,True,False,True,False,False,False,True,False,False,False,False,True,True
44,8,11,5,5,2,5,6,2,1,0.9,1,5.0,0.109,True,True,False,False,False,False,True,True,False,False,True,False,True,False
58,2,11,6,20,2,2,13,5,4,7.9,1,6.5,0.421,True,False,False,False,False,True,False,False,False,False,False,False,False,True
53,28,10,6,18,6,3,18,3,5,2.8,5,7.2,0.355,False,True,False,False,False,False,False,True,False,True,False,True,False,False
54,18,10,5,24,7,5,12,4,4,6.5,2,6.5,0.432,False,False,False,False,False,False,True,False,True,False,True,False,True,True
22,31,8,6,6,2,1,14,1,3,1.0,5,8.1,0.079,False,False,False,False,True,False,False,False,True,True,False,True,False,True
40,6,11,1,3,4,5,4,4,4,8.6,4,5.2,0.639,False,False,True,False,True,False,False,False,False,False,True,False,True,False
23,27,7,4,21,3,1,3,4,1,7.4,2,4.6,0.458,False,False,False,False,False,False,False,True,False,True,False,True,True,True
47,17,11,1,4,5,5,12,5,4,3.9,1,6.0,0.25,True,False,False,False,False,False,False,True,False,False,False,True,False,False
53,4,7,4,0,9,1,12,4,5,6.3,2,6.7,0.615,True,True,False,False,False,False,False,False,False,True,False,True,True,True
27,22,10,2,17,2,4,12,1,3,1.9,1,5.5,0.081,True,False,True,True,False,False,False,False,True,True,False,True,True,False
53,21,9,6,16,5,2,4,5,3,9.9,1,5.2,0.749,False,False,False,False,False,False,False,False,True,True,False,True,False,False
25,25,6,2,8,8,4,5,3,2,8.0,1,7.7,0.565,False,True,False,False,True,False,False,False,False,True,False,False,False,False
32,11,10,3,8,6,1,3,1,3,7.9,4,5.3,0.944,False,True,False,False,False,False,False,True,False,True,False,True,True,False
38,18,6,4,20,4,2,13,5,5,1.5,4,6.3,0.0,False,False,True,False,False,True,False,False,True,False,True,False,True,False
59,0,8,1,23,10,3,14,5,5,0.2,3,8.3,0.173,False,False,True,False,True,False,False,True,False,True,False,True,False,True
45,2,7,1,9,8,1,3,2,3,5.9,4,7.0,0.815,False,False,False,False,False,True,False,False,True,True,False,True,False,False
26,26,8,6,19,3,5,8,1,4,1.4,1,6.5,0.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False
55,17,9,1,16,4,5,18,4,5,7.8,5,5.9,0.47,True,False,False,False,False,False,True,False,True,False,True,True,True,True
27,29,9,3,12,9,3,5,1,3,4.2,2,6.6,0.592,True,True,False,False,True,False,False,True,False,False,False,True,False,True
43,1,11,5,28,5,4,19,1,3,3.4,5,7.4,0.492,True,True,False,False,True,False,False,False,False,True,False,True,True,False
32,4,10,1,3,6,1,18,2,4,0.7,1,7.8,0.089,True,True,False,False,False,True,False,False,True,True,False,True,True,True
37,28,11,6,22,2,5,13,4,3,10.0,5,7.1,0.697,False,False,True,False,False,True,False,False,False,False,False,True,False,False
54,32,9,2,26,9,2,18,2,1,9.6,2,7.7,1.0,False,False,False,False,True,False,False,False,True,True,False,True,True,True
30,19,9,1,17,8,3,14,2,2,1.3,3,4.9,0.434,False,False,False,False,True,False,False,False,True,False,False,False,False,True
27,29,11,1,17,7,4,3,2,5,3.3,3,4.6,0.471,False,False,False,True,False,False,False,False,True,False,True,False,False,False
37,4,8,1,21,9,4,13,1,4,3.9,4,7.4,0.481,False,False,False,False,False,False,True,True,False,True,False,False,True,False
50,20,6,6,8,5,2,8,2,4,3.0,5,5.5,0.297,False,False,False,False,False,False,True,False,True,True,False,True,False,True
24,14,7,5,2,5,2,14,3,2,9.3,4,8.0,0.708,True,False,False,False,False,False,False,False,False,False,True,False,False,False
41,19,9,1,6,9,3,4,4,1,7.2,4,6.6,0.895,False,True,False,False,True,False,False,True,False,True,False,True,False,True
57,7,11,5,25,5,2,12,4,2,9.6,5,6.4,0.992,False,False,True,False,True,False,False,True,False,False,True,True,True,False
40,30,9,5,14,9,5,17,2,3,8.7,5,7.6,0.835,False,True,False,False,True,False,False,False,True,False,True,True,False,True
47,11,8,3,29,1,4,10,1,4,7.5,2,7.5,0.399,False,True,False,False,True,False,False,True,False,False,False,False,True,False
24,20,7,2,8,10,2,13,5,3,7.0,5,7.3,0.792,True,False,False,False,False,False,True,False,True,False,True,False,False,False
40,29,8,1,26,10,1,18,5,4,8.7,5,7.3,0.946,True,True,False,False,False,True,False,False,False,False,False,True,False,True
41,26,6,1,28,8,2,15,1,4,6.8,4,6.6,0.631,False,True,False,True,False,False,False,True,False,False,True,True,False,False
53,25,8,1,8,3,4,15,2,3,1.9,3,8.2,0.013,True,True,False,False,False,True,False,True,False,False,False,False,False,True
28,32,7,5,26,8,5,7,2,2,6.5,1,8.1,0.383,True,False,False,False,False,True,False,False,False,False,False,False,False,False
54,25,7,4,3,5,2,14,3,5,5.2,3,5.8,0.313,False,False,False,False,False,False,True,False,False,False,False,False,True,True
39,25,9,2,17,2,5,12,5,5,9.8,5,7.7,0.443,False,False,False,True,False,False,False,False,True,False,False,False,True,False
22,0,6,6,16,9,1,19,5,2,5.1,1,8.1,0.401,False,True,False,False,True,False,False,True,False,True,False,False,False,False
32,14,10,1,21,4,4,3,4,1,0.4,5,7.0,0.214,False,True,False,False,False,False,True,False,False,False,True,False,False,True
49,0,9,4,20,7,3,17,2,2,2.6,2,6.7,0.463,False,False,True,False,False,False,True,True,False,False,True,False,True,True
46,10,11,4,5,8,4,18,1,2,9.2,5,7.2,1.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False
44,1,8,4,6,7,3,12,2,2,9.6,1,5.2,0.851,False,True,False,False,False,False,False,True,False,False,True,False,False,True
52,0,8,2,24,6,3,12,2,5,7.3,2,4.8,0.513,False,False,True,False,False,False,True,False,False,False,False,True,True,False
51,30,7,4,9,7,4,19,3,4,0.6,1,7.8,0.0,False,False,False,False,False,True,False,True,False,True,False,True,False,True
56,15,11,6,9,4,3,19,1,1,0.2,2,6.8,0.274,True,False,False,False,False,True,False,False,True,False,True,True,True,False
28,21,7,1,26,10,5,4,3,1,4.8,4,5.0,0.764,False,False,True,False,True,False,False,True,False,False,True,True,False,True
37,17,11,6,5,1,1,11,3,1,10.0,1,6.2,0.784,False,False,False,False,False,False,True,False,True,False,True,False,True,False
47,16,7,1,5,5,2,6,3,3,8.7,4,5.7,0.738,False,False,True,False,True,False,False,False,True,False,False,True,True,True
23,29,10,3,28,8,3,9,3,2,9.3,4,8.0,0.934,True,False,True,False,False,False,True,False,True,False,True,True,True,False
22,9,10,5,18,10,3,7,2,4,6.2,5,6.5,0.91,False,True,False,True,False,False,False,True,False,False,True,True,True,True
33,34,9,4,28,6,4,6,4,4,8.6,3,6.8,0.433,False,True,False,False,False,False,True,True,False,True,False,False,False,True
26,20,10,6,7,5,5,5,2,3,3.2,2,5.4,0.312,False,True,False,False,False,False,False,False,True,False,False,False,False,True
58,15,11,5,8,2,2,6,3,5,0.3,1,7.7,0.0,True,True,False,False,False,True,False,False,False,True,False,False,True,False
53,5,7,5,0,10,3,16,3,3,9.2,4,8.2,0.937,False,False,False,True,False,False,False,True,False,False,True,True,False,True
